review_id,year,title,doi,text_source,pre_pos_chatgpt_llm,pre_pos_chatgpt_auditoria,pre_pos_chatgpt_correto,janela_llm,janela_auditoria,janela_correto,sinal_efeito_llm,sinal_efeito_auditoria,sinal_efeito_correto,tipo_estudo_llm,tipo_estudo_auditoria,tipo_estudo_correto,polarizacao_llm,polarizacao_auditoria,polarizacao_correto,score_qualidade_llm,score_qualidade_auditoria,score_qualidade_correto,nota_auditoria
rbc61993d0b3527c9a376819127713fee,2021,"Technology, capital substitution and labor dynamics: global workforce
   disruption in the 21st century?",10.1016/j.futures.2021.102802,abstract,pre,,,2018-2022,,,negativo,,,teórico/modelo,,,ambos,,,2,,,
r1617faa416beed6d3be59dc716e1b715,2019,ARTIFICIAL INTELLIGENCE IN MANAGEMNET: CHALLENGES AND OPPORTUNITIES,,abstract,pre,,,2018-2022,,,ambíguo,,,survey/revisão,,,n/a,,,2,,,
r39e5be422511214289e5e7f190206e77,2025,"Impact assessment of AI, automation, and robotics on employment: Technological transformations and digital work environments",10.4018/979-8-3373-5127-8.ch006,abstract,pos,,,2022-2026,,,ambíguo,,,survey/revisão,,,baixa-quali em risco,,,2,,,
re2d12f63c987681b83507e73de6af99c,2020,Cutting-edge process monitoring and data analytics systems in internet of things-based real-time production logistics,10.22381/jsme8120202,abstract,pre,,,2018-2022,,,ambíguo,,,evidência macro/setorial,,,ambos,,,2,,,
r10acb84af510b683cef8476bf2d050b9,2024,Understanding the impact of artificial intelligence and robotics in the tourism and hospitality industry through customer experience: A systematic literature review,10.4018/979-8-3693-6755-1.ch017,abstract,pos,,,2022-2026,,,ambíguo,,,survey/revisão,,,n/a,,,2,,,
r0cdb1158d4a6f44ab488e6966e519dde,2024,"Innovation and the labor market: theory, evidence, and challenges",10.1093/icc/dtad066,abstract,pos,,,2022-2026,,,ambíguo,,,survey/revisão,,,n/a,,,4,,,
rdc25b66d1571a5c3135e7e046c436cb3,2024,The Technological Impact on Employment in Spain between 2023 and 2035,10.3390/forecast6020017,abstract,pos,,,2022-2026,,,negativo,,,exposição ocupacional,,,baixa-quali em risco,,,2,,,
r3124d41c89324fe43b44d7cea79e62ab,2025,The Effects of Artificial Intelligence and Automation on Labour Markets: Rethinking the Role of Trade Unions,10.4018/979-8-3693-8049-9.ch014,abstract,pos,,,2022-2026,,,ambíguo,,,evidência macro/setorial,,,baixa-quali em risco,,,2,,,
rd1ad9f03d70b7d19984230f86e1cd321,2024,Job automation: complementarities and capabilities,10.4337/9781839106958.00008,abstract,pos,,,2022-2026,,,ambíguo,,,survey/revisão,,,baixa-quali em risco,,,3,,,
r2aaf0812522d5ef847e975f1ac36a8be,2020,On the economic consequences of automation and robotics,10.1108/jeas-04-2018-0049,abstract,pre,,,2018-2022,,,ambíguo,,,teórico/modelo,,,n/a,,,2,,,
r7c7857296e1fc1ec91fbd322f68979a5,2018,"Computers and populism: Artificial intelligence, jobs, and politics in the near term",10.1093/oxrep/gry004,abstract,pre,,,2018-2022,,,negativo,,,exposição ocupacional,,,baixa-quali em risco,,,3,,,
r0a898edf294a5b7fd7462fa6fb38a648,2025,"The Knowledge Economy: Promise, Reality and Future",10.1007/978-3-031-80618-6_2,abstract,pos,,,2022-2026,,,negativo,,,evidência macro/setorial,,,alta-quali em risco,,,2,,,
r8fd42f494dc84e998e2cdc15a8ab5d86,2024,Pause artificial intelligence research? Understanding AI policy challenges,10.1111/caje.12705,abstract,pos,,,2022-2026,,,ambíguo,,,teórico/modelo,,,n/a,,,4,,,
r0c59bff805ebee92864f396b2bf060a0,2025,"Navigating Technological Change: The Role of Passive Social Policies in
   Central and Eastern European Labour Markets",10.5755/j01.ee.36.3.40415,abstract,pos,,,2022-2026,,,ambíguo,,,evidência macro/setorial,,,n/a,,,3,,,
rad9accfe2d593a54853e75f8493996fb,2025,AI-induced job impact: Complementary or substitution? Empirical insights and sustainable technology considerations,10.1016/j.stae.2024.100085,abstract,pos,,,2022-2026,,,ambíguo,,,survey/revisão,,,ambos,,,3,,,
r177473d8592f8eff24b530e2f353e67d,2026,"Technological Progress and its Job Market Impacts: A Basic Simulation
   Framework for Human-technology Collaboration",10.1007/s10614-025-11273-9,abstract,pos,,,2022-2026,,,ambíguo,,,teórico/modelo,,,baixa-quali em risco,,,3,,,
r8c209873f856fe3eeaeb227829a6219e,2018,Effects of industry 4.0 on the labor markets of Iran and Japan,10.3390/economies6030039,abstract,pre,,,2018-2022,,,negativo,,,evidência macro/setorial,,,baixa-quali em risco,,,2,,,
r916ea27453534acfd3fd40dd44782e78,2019,"Smart technology, artificial intelligence, robotics and algorithms (STARA): Employees' perceptions and wellbeing in future workplaces",10.1007/978-3-030-28180-9_2,abstract,pre,,,2018-2022,,,negativo,,,survey/revisão,,,n/a,,,2,,,
r0528f180c24892134ac264c6ce0f1a60,2019,Artificial intelligence: The ambiguous labor market impact of automating prediction,10.1257/jep.33.2.31,abstract,pre,,,2018-2022,,,ambíguo,,,teórico/modelo,,,n/a,,,4,,,
r6946c5686d2aa66bb4ec9abce037b750,2025,"The joint impact of global value chains and technological exposure on
   job quality and wages in Europe",10.16995/ilr.18858,abstract,pos,,,2022-2026,,,ambíguo,,,exposição ocupacional,,,n/a,,,3,,,
rdf24f2d6ef48ea1618739711d6bbf701,2025,The positive impact of AI adoption on employees in the banking industry,10.4018/979-8-3693-6507-6.ch006,abstract,pos,,,2022-2026,,,positivo,,,survey/revisão,,,n/a,,,2,,,
ra0d2ecee1e2e73d7965bfd2ff0a65e19,2020,When machines think for us: The consequences for work and place,10.1093/cjres/rsaa004,abstract,pre,,,2018-2022,,,ambíguo,,,survey/revisão,,,ambos,,,3,,,
r73d30722482e6e5684ee9f756254901b,2025,"Does Robot Equipment Capital Affect Skill-Wage Inequality? Evidence From
   China",10.1111/rode.70090,abstract,pos,,,2022-2026,,,negativo,,,evidência macro/setorial,,,baixa-quali em risco,,,3,,,
r985c4b2a6edb2c3f4b9117f8a6e9a0c4,2026,Human–Machine Collaboration for Organizations: A Review,10.1108/978-1-83608-826-420261008,abstract,pos,,,2022-2026,,,ambíguo,,,survey/revisão,,,baixa-quali em risco,,,2,,,
re0a87f5f74726d76ad7dfb090c7b7148,2024,Artificial Intelligence and Entrepreneurship,10.1561/0300000130,abstract,pos,,,2022-2026,,,ambíguo,,,survey/revisão,,,n/a,,,3,,,
re7145cee20bd6eca0f5862c6d134500f,2021,"Disruption in the apparel industry? Automation, employment and reshoring",10.1111/ilr.12213,abstract,pre,,,2018-2022,,,ambíguo,,,evidência macro/setorial,,,baixa-quali em risco,,,3,,,
redc0ac35cd6bee34564b69fa9d32b5ea,2025,Searching for robots,10.1016/j.econmod.2025.107260,abstract,pos,,,2022-2026,,,ambíguo,,,teórico/modelo,,,n/a,,,4,,,
ra70228ae2e8fbfdefbd36e368c303f54,2025,"TECHNOLOGY DEVELOPMENT AND CREATIVE DESTRUCTION: CHALLENGES FOR DIGITAL TRANSFORMATION OF THE ENTREPRENEURSHIP, WORK AND EDUCATION",10.13165/ie-25-19-1-01,abstract,pos,,,2022-2026,,,ambíguo,,,survey/revisão,,,ambos,,,2,,,
r860fddea31c3f764746a93bf0f97d7de,2025,"Automation, education, and population: Dynamic effects in an OLG growth and fertility model",10.1016/j.jebo.2025.107002,abstract,pos,,,2022-2026,,,ambíguo,,,teórico/modelo,,,baixa-quali em risco,,,3,,,
rbad80acc3957c871ed8b4c09f3eeeba7,2021,Reducing automation risk through career mobility: Where and for whom?,10.1111/pirs.12635,abstract,pre,,,2018-2022,,,ambíguo,,,exposição ocupacional,,,alta-quali em risco,,,3,,,
red421e7fe457c35a819a637c289a0dda,2019,AI meets labor market: Exploring the link between automation and skills,10.1016/j.infoecopol.2019.05.003,abstract,pre,,,2018-2022,,,ambíguo,,,exposição ocupacional,,,n/a,,,3,,,
r004c799fae612cf4b40fc682633c9ce6,2024,A Sectoral Wage Gap Due to FDI Inflow in the Artificial Intelligence-Induced Non-traded Sector of an Open Economy,10.1007/978-981-97-5652-0_7,abstract,pos,,,2022-2026,,,ambíguo,,,teórico/modelo,,,ambos,,,2,,,
rd82fc00ec25138cf765ca62b63552fff,2024,Government size and automation,10.1007/s10797-024-09833-0,abstract,pos,,,2022-2026,,,negativo,,,teórico/modelo,,,n/a,,,3,,,
r7ac8c9d36dbd785f36ff78ddfbdabc40,2025,FROM DATA TO DECISIONS: Neural network approaches to socio-labor regulation in the digital age,10.1145/3762249.3762285,abstract,pos,,,2022-2026,,,positivo,,,evidência macro/setorial,,,n/a,,,2,,,
r0093240eede1247d42f9eb5a07948877,2025,Policy Forum: Tax Policy for Strategic Advantage—Building Canada’s Human Capital Edge in the AI and Tariff Economy,10.32721/ctj.2025.73.4.pf.mescall,abstract,pos,,,2022-2026,,,negativo,,,evidência macro/setorial,,,n/a,,,2,,,
r43c7304d0b444d2022ea4c621c8cb880,2023,The impact of automation on employment and its social implications: evidence from Chile,10.1080/10438599.2021.1991798,abstract,pre,,,2018-2022,,,ambíguo,,,exposição ocupacional,,,baixa-quali em risco,,,3,,,
r76f18a8f4b29170416eaa0fd950d77ce,2019,"Automation and Job Polarization: On the Decline of Middling Occupations
   in Europe",10.1111/obes.12298,abstract,pre,,,2013-2017,,,ambíguo,,,evidência macro/setorial,,,baixa-quali em risco,,,4,,,
r92e51649254db69f7e406532391c447f,2024,Robots in action,10.1111/twec.13562,abstract,pos,,,2022-2026,,,ambíguo,,,firma/freelancer,,,n/a,,,3,,,
r776b884e75987ee00232f19b382466b0,2026,The effect of monetary policy on employment: sectoral heterogeneity and automation,10.1080/13504851.2026.2624034,abstract,pos,,,2022-2026,,,negativo,,,exposição ocupacional,,,baixa-quali em risco,,,3,,,
ra062f80ac67786dd0721d61c31f89a50,2024,The sudden disruptive rise of generative artificial intelligence? An evaluation of their impact on higher education and the global workplace,10.1016/j.joitmc.2024.100278,abstract,pos,,,2022-2026,,,ambíguo,,,survey/revisão,,,alta-quali em risco,,,2,,,
rd6c6d614023b743a85978938c31154e0,2022,AUTOMATION AND PANDEMIC: THREATS TO EMPLOYMENT IN LATIN AMERICA; [AUTOMATIZACION Y PANDEMIA: AMENAZAS SOBRE EL EMPLEO EN AMERICA LATINA],10.4067/s0718-88702022000100027,pdf,pre,,,2018-2022,,,negativo,,,exposição ocupacional,,,baixa-quali em risco,,,3,,,
ra88f06c75de8753f68e921534685147a,2026,"Artificial intelligence, greening of occupational structure and total factor energy efficiency",10.1057/s41599-026-06591-8,pdf,pre,,,2022-2026,,,positivo,,,evidência macro/setorial,,,baixa-quali em risco,,,4,,,
r6b9152c0903eb3fcd7fa1ce58bfe695d,2025,Income and wage inequalities from automation. A European perspective,10.1007/s10037-025-00225-3,pdf,pre,,,2018-2022,,,ambíguo,,,evidência macro/setorial,,,ambos,,,4,,,
r8a35d9171cde8fac275c648c7540ebe8,2023,The disaggregation of the projected impacts of automation in the regional labour markets between 2019 and 2030: Case of the Czech Republic,10.15196/rs130305,pdf,pos,,,2022-2026,,,negativo,,,evidência macro/setorial,,,baixa-quali em risco,,,3,,,
r40f39e2c29ae3ccd5b09fddf89250908,2022,Artificial Intelligence and Jobs: Evidence from Online Vacancies,10.1086/718327,pdf,pre,,,2018-2022,,,ambíguo,,,firma/freelancer,,,alta-quali em risco,,,5,,,
rb6a248f65ea10f2004745f71c7699c63,2025,The Challenge of Artificial Intelligence for the Cultural Sector. An overview from USA Sectorial Data,10.69810/ekz.1496,pdf,pos,,,2022-2026,,,nulo,,,evidência macro/setorial,,,n/a,,,2,,,
ref94459791c606ba05b43396bc72b3f3,2025,"The Characteristics of the Artificial Intelligence Workforce across OECD
   Countries",10.1007/s41027-024-00549-7,pdf,pre,,,2018-2022,,,positivo,,,exposição ocupacional,,,alta-quali em risco,,,3,,,
r66834e999f415182c1e50a654d7a23e6,2022,Analysing Labour-Based Estimates of Automation and Their Implications. A Comparative Approach from an Economic Competitiveness Perspective,10.7441/joc.2022.03.08,pdf,pre,,,2018-2022,,,negativo,,,exposição ocupacional,,,baixa-quali em risco,,,3,,,
r82c4fb9bd80e956521d92467eee0cd50,2026,"Airline Pilots in the Age of AI: A Global Study of Work, Safety and Technology",10.4324/9781003724452,pdf,pos,,,2022-2026,,,negativo,,,survey/revisão,,,alta-quali em risco,,,2,,,
rabdef159d44c0df0fb88746f8a4eb5b5,2019,Will we work in twenty-first century capitalism? A critique of the fourth industrial revolution literature,10.1080/03085147.2019.1620027,pdf,pre,,,2018-2022,,,ambíguo,,,teórico/modelo,,,baixa-quali em risco,,,3,,,
r4ace0e6d352d38dc9b575fce3a92b3c6,2021,Better understanding of the labour market using Big Data,10.12775/eip.2021.040,pdf,pre,,,2018-2022,,,ambíguo,,,exposição ocupacional,,,n/a,,,2,,,
r49dd7a268609170e18ca11ad4d0aa529,2025,The Impact of Artificial Intelligence on Professional Profiles in the Radio Industry; [El Impacto de la Inteligencia Artificial en los Perfiles Profesionales de la Industria Radiofónica],10.31637/epsir-2025-486,pdf,pos,,,2022-2026,,,ambíguo,,,survey/revisão,,,ambos,,,2,,,
r914fcb3b3bfe2c653d4efd9a3da67a96,2023,IMPLICATIONS OF DIGITALISATION ON SKILL NEEDS IN A SUSTAINABLE ECONOMY,10.24818/ea/2023/s17/1115,pdf,pre,,,2018-2022,,,ambíguo,,,firma/freelancer,,,n/a,,,3,,,
