review_id,text_source,confianca_extracao,elegivel,motivo_exclusao
rf0403a5e2e5cc035c5f46b9c4d4ea5b3,abstract,0.72,incluir,
r390235bd89156eaade4546f133fa61f0,abstract,0.72,incluir,
r7be33cf2a208b21024cb646ed128e259,abstract,0.55,incluir,
r9da7134b6c4b8973c556379fb21c1014,abstract,0.72,incluir,
r1d2664d8974b8a4823dfb7fcd5ea576b,abstract,0.82,incluir,
r69da0c26b0ca3756b6010ccb0d94cd87,abstract,0.72,incluir,
ra131c19e6257c25250cb3f136f0d2e24,abstract,0.72,incluir,
r892731b1117ad8e2e9de433c93941452,abstract,0.82,incluir,
r4790c4c6bad1149c7a0e5023a3d7b6f2,abstract,0.72,incluir,
r5fbc4dd41a6921fdfac7f423e8fe2a3d,abstract,0.62,incluir,
r4a25c888055565e73b87116efd46ded5,pdf,0.82,incluir,
r916e4059ff3a10e0cbb89b097872ee35,abstract,0.62,incluir,
reb2ce0d88c422d516855906194529c13,abstract,0.88,incluir,
r985c4b2a6edb2c3f4b9117f8a6e9a0c4,abstract,0.62,incluir,
rc9d9dfe9620012f336b4f202c7c47027,abstract,0.55,incluir,
r8fcce68b0d81df3ba9366a7aab98997d,abstract,0.72,incluir,
r7fc8a3527daf9d5e461bce12e43c3c09,abstract,0.52,incluir,
r025241e5d7c5b3db9697836f88dee15c,pdf,0.93,incluir,
r2174175ba42b2d869d1e3633bf63ffe9,abstract,0.82,incluir,
r9fd565a9eb3fcf7f1b9d02ecc579ba80,abstract,0.82,incluir,
r689cdb03abfee54d2f5c1f31ce629575,abstract,0.62,incluir,
rd228fa725cc07313932ae3b57188c77c,pdf,0.82,incluir,
r2b9d8d23c9e090c0536c486a95c0e759,abstract,0.62,incluir,
r72b9dd5e5964991f11ad3d6f81bea95f,abstract,0.72,incluir,
r3554863b9e9643319e68397b8a7a2753,abstract,0.82,incluir,
r4b0c58cd597a49d74278103aac36f418,abstract,0.62,incluir,
r308d77686e7742144323c1c7126214a1,abstract,0.82,incluir,
r76bdd607327c5aa249595cb5b1acb2cd,abstract,0.82,incluir,
r85809909a7a5936ad6d15584e67bd66e,abstract,0.82,incluir,
rd2ca323e1118c0b3c468b5af5e951e44,abstract,0.62,incluir,
rd294728c2fff556b3afa96c62833463a,abstract,0.82,incluir,
raa212f484f8e820f521d18780d40c181,abstract,0.82,incluir,
r175535c42349826df7aa87cd2c0df2ab,abstract,0.55,incluir,
rf3f9f261455869216363f4ff61b55ee6,abstract,0.72,incluir,
r5c785aaee157f9aa6a4212048d08946a,abstract,0.82,incluir,
rfa35fea02bf1d6d4fc0a0e62f10ae9ae,abstract,0.82,incluir,
r33f2c4c0c85384975a971def865d27d7,abstract,0.72,incluir,
r2f14bfb245a271d3a6005bb174116a6a,abstract,0.72,incluir,
redc0ac35cd6bee34564b69fa9d32b5ea,abstract,0.78,incluir,
r928aa62fbbce7a2c37d1917c629045e1,abstract,0.85,excluir,E3
r4b75c9171eb9cb6e0aa1876d7fcdceb4,abstract,0.72,incluir,
rae93b32d44fbcaf85e6527306861126d,abstract,0.82,incluir,
r2c4864bc15aabf9fbef6550b745c25be,abstract,0.82,incluir,
r6ba623d5eb32290df7d5e5ddefd29d9c,abstract,0.78,incluir,
rb35004b0e4c03030c42ed7183bbeb1d5,abstract,0.88,incluir,
rdb8f95110b4efbb61498509bca319a9e,abstract,0.82,incluir,
rb6e8a99092144ca52b7d9cab510a895e,abstract,0.82,incluir,
ra2917983bad3a281a871a37398da99d6,abstract,0.72,incluir,
r6b1be8cdbb474faad61707e51820f1f3,abstract,0.72,incluir,
r46ff25a6851740980917b2cf2c4baf63,abstract,0.62,incluir,
r9e3200f1361c4547578a37a1b24401ae,pdf,0.82,incluir,
rf7bfe8532a7ab4aa561c1e1bb34bb2e8,pdf,0.82,incluir,
r93f9f280bd9ec7cc4ee24f93d7f85d5c,abstract,0.72,incluir,
r82c4fb9bd80e956521d92467eee0cd50,pdf,0.72,incluir,
r4d78f9378f798dded47e26c3fba7c5d8,abstract,0.82,incluir,
r40d589b61938c195b53b882db3f3e47b,abstract,0.88,incluir,
rd550e2c551ac445c69d03e97cd6ea6e1,abstract,0.55,incluir,
ra998c26a01dfa756cc39f49de3731d57,abstract,0.72,incluir,
rf49ad7b0700459d166cc55301c59edab,abstract,0.62,incluir,
r0afa0bf524facf743cf6c52685014ccc,abstract,0.82,incluir,
r941cf3ec30fa9f4c9e11478e74175f55,pdf,0.72,incluir,
r166c50534f60cbc33a493f7dfbd9e4ba,abstract,0.72,incluir,
rc29d96690ed773e903f09874cc740fe0,abstract,0.72,incluir,
r7ac8c9d36dbd785f36ff78ddfbdabc40,abstract,0.72,incluir,
rcd4971aec2ea5e2a5f8d3f9d6a0c6935,abstract,0.72,incluir,
reb8a124dd8ac7525eb504b8595934f29,abstract,0.78,incluir,
r6eec9ba034b6180aa07a4588d2e3bc34,abstract,0.88,incluir,
r6b9152c0903eb3fcd7fa1ce58bfe695d,pdf,0.92,incluir,
rfa736132cf1bf4aff346d85ed5d2b7bf,abstract,0.72,incluir,
re08792662e2a7eed7759955b329451be,pdf,0.88,incluir,
r07a30d034b722d6e2e16b449456609d4,abstract,0.72,incluir,
r1778d669abd418f71b25883489f30595,pdf,0.88,incluir,
ra1caef51b093c97b6d478e220f59fbb6,abstract,0.95,excluir,E3
r698defff0f5a61b4bbc9900d81190a67,pdf,0.88,incluir,
rb207801619cce1a3f00fd1956f880567,abstract,0.78,incluir,
r9dad40e298a4be61a05956e3f10436f2,abstract,0.82,incluir,
r77de2eb9d3bdc27c7570a7c98ee8879d,abstract,0.62,incluir,
r1629761a8a64975b47fe5f5c23c1ea5e,abstract,0.55,incluir,
rdbf3fd58b0b66af22bc62563025c55c3,abstract,0.82,incluir,
r54db9b485abb84776f7279cd6a2f24d5,pdf,0.72,incluir,
r7a2ac359c50859cc523e933b47a880a0,abstract,0.72,incluir,
r3124d41c89324fe43b44d7cea79e62ab,abstract,0.72,incluir,
rcd09d6cf0bf2c161ead843bd0f3fbe10,abstract,0.82,incluir,
r38be2b0108544c42bb7b1d044af0d239,abstract,0.82,incluir,
r53196291079136387874367725f66e49,abstract,0.62,incluir,
rf494166fb8e7f5dfa934002c7044aaa2,abstract,0.82,incluir,
r03f46a057dff727d8debca208465d9aa,abstract,0.78,incluir,
r8b27d400522d2e2fbb093f25155ac2e2,abstract,0.9,excluir,E3
re7cef2e7851b5be0b5b3cd2b39b9656f,abstract,0.52,incluir,
rb859cd3daa1df485b5b8d6e5bbe15dae,abstract,0.78,incluir,
r3a0a3359aa6224633ca027a836ba84a4,abstract,0.85,excluir,E3
rf1f3e73e51e87f023f001e2d2c486aab,abstract,0.45,incluir,
rcfb38bfd8cbccfe5cabd6a288b5e543e,abstract,0.78,incluir,
r616c9cbcf03fb9d6eed0c900e8110e07,abstract,0.62,incluir,
rdf7ddb218791bfa7cce8c7b308bc5fbd,abstract,0.62,incluir,
r4e8bc6bc0b9b0b6eddb8c4d421711ef3,abstract,0.82,incluir,
r1a1639181c76124e1bb9071611f8eab8,abstract,0.55,incluir,
r24427db4234dce933e2b6fb2dafa908d,abstract,0.55,incluir,
rfabcf31022772568587dc51053baa714,pdf,0.82,incluir,
r06379887776e724d55a98f7a8648fc89,abstract,0.45,incluir,
r6d38eda10a7e3d58c4685ce88bb2aa50,abstract,0.82,incluir,
r39e5be422511214289e5e7f190206e77,abstract,0.55,incluir,
r0537a4d057cf1c97b128ffb9e9b11574,abstract,0.72,incluir,
r659b1577ac156fab62fdd5bd455f4ff9,abstract,0.55,incluir,
ra09671455f481b6c39d82ada07e51537,abstract,0.9,excluir,E3
r4184a35cb43635a582418ee57ae463b7,abstract,0.62,incluir,
raa1485a76553bc4f5099e7706cd021bc,abstract,0.82,incluir,
rd1c057d62d71ef26f4f11f91df4ae555,abstract,0.82,incluir,
r10d4ee5ce47c80b7b6ad676c7d388749,abstract,0.72,incluir,
r7d0be2523c037e968cb3de58f22002d3,abstract,0.52,incluir,
r1367a6568581adf60b9d58ecbbc442fe,abstract,0.85,excluir,E3
re88810a4f66cb942a90a19519cce68ca,abstract,0.82,incluir,
rf51a3ce77d07af0f970763ed795b16f5,abstract,0.78,incluir,
r30ccc590ce794c146b60be5fc119bdb7,abstract,0.82,incluir,
re1e93383736f4f42911c5de356c62703,abstract,0.78,incluir,
r860384682fa07641c62ac2617e91f8c3,abstract,0.62,incluir,
r5611b3707084bc864cecfb43bdbcec87,abstract,0.55,incluir,
r7ab15903b66a0095890487120eb85258,abstract,0.62,incluir,
r1a34d2065a4c57eff85b6a1fa187f81b,abstract,0.85,excluir,E3
r860fddea31c3f764746a93bf0f97d7de,abstract,0.72,incluir,
r81be252fa84e6fc68ac5a4ef1a65c1b9,abstract,0.62,incluir,
r2270c564d1f11dc70145f0d53d63d050,abstract,0.55,incluir,
r50aed52352780f8b5ffc95e947351b45,abstract,0.82,incluir,
ra30e1a18f95154d6c91ce2ca08a5fa13,abstract,0.62,incluir,
r09686fe299970435f18581b23cf0a724,abstract,0.82,incluir,
r5f4b5e9e4161dbb2c8dce7b6bb956e5b,abstract,0.82,incluir,
r2207c067c20dd10252518cc51de9ffef,abstract,0.72,excluir,E5
r9e038381bab1ff608492b4164d3b8135,abstract,0.9,excluir,E3
r9d4b4f26ea843c7b93c6f4fa574cb7c4,pdf,0.72,incluir,
r8133c4e22304a182d9b22b7a7ebbdd01,pdf,0.72,incluir,
r72917db2b33110f374790e5f19cd9bca,abstract,0.62,incluir,
r96192278e1c29c4ba2b0fe66e16a00b4,abstract,0.62,incluir,
r895b7513f1caed854e5b15e45efeca32,abstract,0.62,incluir,
rf544fe86f840fba9760db9b9f3650899,abstract,0.72,incluir,
r8d7da1bdf10b69dd3078600412d3d099,abstract,0.85,excluir,E3
rb385a0c7b12dadf368409cb462ee414e,abstract,0.72,incluir,
rb5bb7df3a8d55a50cbd8cd7db1bba84e,abstract,0.62,incluir,
r9a3965c2ee401c50978d8ea3e32c088d,abstract,0.72,incluir,
r479c8d7734289fc14de1fbcaf7496fb1,abstract,0.82,incluir,
r1711de28dc288235fa9f09879872d08e,abstract,0.78,incluir,
r5986a02854319de16e835d9c178f2e29,abstract,0.62,incluir,
ra2201ec3a611349de522e0b0e9f19590,abstract,0.55,incluir,
r88406786b94b0fc7151d8f6cb7961418,abstract,0.55,incluir,
r04dcd80ace004b292c4360516d7b16e4,abstract,0.82,incluir,
r71c52706119af1389f8617e85a9e3897,abstract,0.62,incluir,
rfc73f73d0e1e82e8ec7b065c52dfc57d,abstract,0.72,incluir,
r9ef49a91178228b901ecd4084c7e2446,abstract,0.62,incluir,
reec5a6e74a6949f495f19258924fba1b,abstract,0.78,incluir,
r43a912583e7f23ab7dd1ce0c11750daa,abstract,0.72,incluir,
rd8cd0d45f3c64a222aa9848533cc7754,abstract,0.82,incluir,
rcd2adff885fdc046535c146b5cd751f2,abstract,0.78,incluir,
r1d536b1d9eb711af4d72453e7229afe3,abstract,0.82,incluir,
r82e84700839ab181c68de61642c62f38,abstract,0.62,incluir,
r965faaedfb803c2770a8dba0c4e08adc,pdf,0.72,incluir,
r50b4edb0d1fe30ec68aa978ae7f8d8f8,pdf,0.85,excluir,E3
r190adb58a3af5d7272ca92d40eb96e3b,abstract,0.62,incluir,
r4248826ef96d49f6ae4881553c8cc4e4,abstract,0.72,incluir,
r2a4696cd05a95ed546e075b9b3b04b8e,abstract,0.88,incluir,
r64e8da93f90639f712e1251bdf685415,abstract,0.72,incluir,
recfb4b6565c9cf80682be7a7ea77756a,abstract,0.55,incluir,
r244ef5ee7b03abae3820d04cc8e45d8b,abstract,0.52,incluir,
r567c3e2d0c2418bc0fb0ac98495bf491,abstract,0.72,incluir,
r551b1ccca095697b968b7440036f2b53,abstract,0.62,incluir,
rce30972688bcc88df7ce39a00fc8acc5,abstract,0.52,incluir,
rd91d04937755369e6c992e91ae397078,pdf,0.62,incluir,
ra3da908dec184fc383a6828184463b8f,abstract,0.78,incluir,
r5bfc987191e019a8aaf1a6f3070b4540,abstract,0.85,excluir,E3
r1f3a7292041a3d447015c5208b7fa72a,abstract,0.82,incluir,
r2d824e79a2e7ef96e25490ba6f82a849,abstract,0.78,incluir,
re4f5e6742867016ce24a1d4ca34f8aa5,pdf,0.92,incluir,
r49dd7a268609170e18ca11ad4d0aa529,pdf,0.72,incluir,
rad5e3c0580cdcb84e1a799617fe0749e,pdf,0.72,incluir,
red03678ab09edc24e332ae328d0567af,abstract,0.85,excluir,E3
r8dab480a04dc53222fc1edfb9b6452d4,abstract,0.45,incluir,
r697c5b3a8d604ffdfc0c92dba79d6afb,pdf,0.72,incluir,
r1fe3895abbccfafb4930c7871975edbf,abstract,0.72,incluir,
r697ba9ec912259f9f089cf66d413d065,abstract,0.92,incluir,
r39768f0982fb48cf3c2547b32cde7c0b,pdf,0.88,incluir,
r1be08bc5cd15b2e90c988b9d4c1c8c17,abstract,0.62,incluir,
r3d26bbf4e795e39eafc12a1e2a7cd923,abstract,0.55,incluir,
r50dc11ae831e6e25e2619c5b771ee3a1,abstract,0.75,excluir,E5
r27b1792b1d876aad847613c48d4873e1,abstract,0.82,incluir,
r34759199346b841886eaec55e44c0445,abstract,0.72,incluir,
re289d11e8071db6c52f757037f79a64b,abstract,0.85,excluir,E3
rde3d06673458373e9de3161f1e70e2d6,abstract,0.82,incluir,
rc21f4747f75392ed94e7a4e32a59ff11,abstract,0.82,incluir,
radf9f3ffe1439c26d0e782c51ab77045,abstract,0.92,incluir,
r72618a29f53b543cb5e91b632741a40e,abstract,0.55,incluir,
r22e791ec9a776f18c04b76b9fb33cc3f,abstract,0.62,incluir,
rdf24f2d6ef48ea1618739711d6bbf701,abstract,0.62,incluir,
r8c4f4544f3fe7f82478eafb3f93a5058,abstract,0.55,incluir,
r2b10b2503b264227b9342705ad91e81b,abstract,0.82,incluir,
r082377f31f560ff0aa585b472ada3a2e,abstract,0.72,incluir,
r05ef47b2ec564dcfd89a19c340ee0e49,pdf,0.82,incluir,
r8626f4ef0c39f232118338ed624e03d0,abstract,0.55,incluir,
rbd57b9e6bc76762ba08a18c643532090,abstract,0.45,incluir,
r3a5633001c22b07cffa4e53c85175c12,abstract,0.55,incluir,
r50d919676db744db3281e21e2fbb69bb,abstract,0.72,incluir,
r6bb37fb5554e02d715ec6a7009fb9919,abstract,0.82,incluir,
r0a898edf294a5b7fd7462fa6fb38a648,abstract,0.62,incluir,
ra3385858da08ad2df98f0290de557e87,abstract,0.62,incluir,
ra70228ae2e8fbfdefbd36e368c303f54,abstract,0.62,incluir,
r792f34838244f7e919856bda5c3defaf,abstract,0.62,incluir,
r81830599c8828b05227c16110f263e72,abstract,0.82,incluir,
rf94b20a17680ad1d6d0ed31c6c8cc136,pdf,0.88,incluir,
r6e58d2f06edef7b10ba2c112fed4c5bc,abstract,0.55,incluir,
r5ef8ed170c220eb93e46eb3d7091a55a,abstract,0.82,incluir,
r8784f688e74aea8726b55bb880056f29,pdf,0.78,incluir,
rf009e5756123ca66e16b968ec4e71a7b,abstract,0.62,incluir,
ra01638352d1d5808c7b1a8ae938c00f5,abstract,0.72,incluir,
r59a93e5a3ce22fbbf67b59651f40d12e,abstract,0.78,incluir,
rca143864f53d64aba3c9cb982f8188e1,abstract,0.72,incluir,
r1d67bb04ab0c0d2454314e8d7a481550,pdf,0.88,incluir,
rf02b37da837ef11cd1a36769a0b1fd26,pdf,0.88,incluir,
r645dd186f40590da72e9e058e2b7afbf,pdf,0.72,incluir,
r9dc95c118c6c02ac3cf5b7006bbba9e5,abstract,0.88,incluir,
raf6dfb27dac3999f3e4e97db3573f55f,abstract,0.62,incluir,
rcf7bb50d5723a92292243b5f8965f117,abstract,0.72,incluir,
raaa4d379f7595f2d0e65f481b8536ede,pdf,0.82,incluir,
r0093240eede1247d42f9eb5a07948877,abstract,0.72,incluir,
rc79383d8fc9ec75409797b44b0680f1e,abstract,0.72,incluir,
r55d3ae33f2c1467b7420af1ad29e38e6,abstract,0.62,incluir,
reed4529dace23b96ac8113b1dfc5295e,abstract,0.52,incluir,
re4a40ad2d4f35cb6ee24d572d2b69f1b,pdf,0.82,incluir,
rb605427ee7ef4885b1b6e448fd37f1b1,pdf,0.82,incluir,
rdcb7e770c5bea6cf04352f7f7bd65a11,abstract,0.82,incluir,
r3e78a9cd4b42bdc2509349e8024c2212,abstract,0.82,incluir,
ra30c98bfd574f6c9fe1b858b7798a724,abstract,0.82,incluir,
r2d9dc00e1dc95905e6cb4567b91c872c,pdf,0.95,excluir,E3
rdc25b66d1571a5c3135e7e046c436cb3,abstract,0.78,incluir,
rd288da89955015a0c753581e666ad28d,abstract,0.82,incluir,
r5b5b32687a92eeab576a12e8ef41ab3b,abstract,0.55,incluir,
r36bd70a7b034631ef8c38f76bbc95d96,abstract,0.82,incluir,
r45db2099b9857c20e6eabd52ccf8b50c,abstract,0.78,incluir,
rb8747073cb24fc96c49e6910e16769f5,abstract,0.82,incluir,
r2e0dcf7b5d560c0b9b907d5f3da72cb8,abstract,0.72,incluir,
ra0a2a80e234db2ee28d920c82d8a50ed,abstract,0.55,incluir,
r048c7984a111c7a33c00ffbcc38d7caf,pdf,0.82,incluir,
r7fa2289f2e536f8c32694ab136cb7a6d,abstract,0.72,incluir,
r24213c3cfa5caf2b6661b4bf8c09a717,abstract,0.85,excluir,E3
rd3e56327192773c9f261fb115c5f6005,abstract,0.85,excluir,E3
r2c75373a99ac617513e6a44769793d54,abstract,0.82,incluir,
r2ad2d65227b25b9dbc3d2c9000ac135f,abstract,0.72,incluir,
r7a01217aa833960cf217063798b2fc6e,abstract,0.82,incluir,
r51d658102cedf5d42176b52dc843197d,abstract,0.72,incluir,
rf56446ad9897a7499ad16e54982800f2,abstract,0.78,incluir,
rd61bf98c6df0ea7f1781d57fa79970b4,abstract,0.82,incluir,
rb6a248f65ea10f2004745f71c7699c63,pdf,0.82,incluir,
reabcb586d9d20b770217b87843b0cfea,abstract,0.82,incluir,
r9a568f00cbc7066742aea90ed8041021,abstract,0.88,incluir,
r0f88c54b4087399773c2a70445db4988,abstract,0.62,incluir,
r931152f5d0f89bbb6da0db38d7c25feb,pdf,0.85,excluir,E5
rcf4c9441944d682d0908abbec718374d,abstract,0.62,incluir,
r7a5eadc0c6892c258de7f27c58da9dbb,abstract,0.72,incluir,
rf7653e3d91a5c99bb17b2abd07928d54,abstract,0.62,incluir,
r03d863a1a27bf7e39ae3b74e068e231e,abstract,0.78,incluir,
r95a3b62bf3f49e7ae24ca1022e70c94d,abstract,0.82,incluir,
r14b32d5a6c0e2c8cf72c76685051da9d,pdf,0.88,incluir,
r8fd42f494dc84e998e2cdc15a8ab5d86,abstract,0.72,incluir,
r1c1ef5c58e5945ec6d1831024dac983d,abstract,0.82,incluir,
ref67fd4ad1ba32e17b61297207a3deb5,abstract,0.78,incluir,
r93c2be160d0192668ef8eca7d846147b,abstract,0.82,incluir,
r72a2e5f9dbac344d0d39653fb69a5a56,abstract,0.82,incluir,
r7c0d1b7e181d32362f4c791c28a31e37,abstract,0.78,incluir,
rfafe5936d721780918a505460b7c78ea,abstract,0.85,excluir,E3
r38ef3bf77ae6bab3b04bb0c2468a2837,pdf,0.92,incluir,
r0317d69650d46bf25a6353fea6488d05,abstract,0.78,incluir,
r004c799fae612cf4b40fc682633c9ce6,abstract,0.78,incluir,
r1c42894112417c19a64b137bd443b195,abstract,0.82,incluir,
r073f8d8103b79d553552f649d18c1b53,abstract,0.88,incluir,
r805ed53d01e35bfa5059fa9842c45254,pdf,0.82,incluir,
r00bfa1425c7c0917cf18eb0a3be3be7b,abstract,0.72,incluir,
r5f6b515b4468dc5639a63b3fe4e3a9a5,abstract,0.82,incluir,
rf80d0fd0d51e64407c9f9d3cb3c19593,abstract,0.85,excluir,E3
r00734824acac0cd59ffc3463a2fa425c,pdf,0.92,incluir,
r14121d0186fb06f405570ac581293160,abstract,0.72,incluir,
rf7d3d6eba514b34bae511bbefb295cdf,abstract,0.62,incluir,
r449fc958112ea674b12d277228c156ec,abstract,0.82,incluir,
r5ea40ead7612d27e3f015252d2754d70,pdf,0.88,incluir,
rcc5d79ca63f7a55ca43bc0cc473f8af2,abstract,0.82,incluir,
r440a5cdecd69fbab8bc97e5185c48db4,abstract,0.82,incluir,
r1b3fec7c1ed5d0f0470688de331d1e7b,abstract,0.62,incluir,
r99198167b043d241b9a3ad63d7b99fab,abstract,0.82,incluir,
rff60c8d42619957bbe0bff0d643d82e9,abstract,0.72,incluir,
rc4e15baef98d332036cece2eb904ae8e,abstract,0.62,incluir,
ra900a8c94be38c781fe1d708563b96c8,pdf,0.88,incluir,
rd3e81722e359d75dfbbcdcf2fa3de83f,abstract,0.62,incluir,
rc2adcfe5bc91c4754001b80ee496507f,abstract,0.78,incluir,
r28bb8b8b5d473c94a2ab0de7b247182d,pdf,0.62,incluir,
r07bd2bf75e9e0c86e5fdcbbf90131634,pdf,0.72,incluir,
r11f4eace3c7c99e04e2b0cce0b181ba5,abstract,0.78,incluir,
r9c9b2e5529162a89045295226c86e3f5,abstract,0.72,incluir,
r7b77fe81f8a739bbb443db3c7ab95391,abstract,0.78,incluir,
r0da4026d5e35cf83b34dc7b3c98640d7,abstract,0.82,incluir,
r80976d3b21317432b16b9a8c8ca1ddd8,pdf,0.72,incluir,
r10acb84af510b683cef8476bf2d050b9,abstract,0.62,incluir,
r0b02b444ff9add1c0c449bd503cce351,abstract,0.55,incluir,
r359bae08b007a3c9770d1fecc9e58cdc,abstract,0.78,incluir,
red4b79485fa0dbd2a6abe8f063e8e444,abstract,0.82,incluir,
r4f68ecd8fb4d53e7a56a7835b5487bae,abstract,0.72,incluir,
ra062f80ac67786dd0721d61c31f89a50,abstract,0.62,incluir,
rbe0b03025412c75b82405430f57918fb,abstract,0.78,incluir,
re1d0af173be51c976cdc6115e48bfbc2,abstract,0.82,incluir,
re0a87f5f74726d76ad7dfb090c7b7148,abstract,0.72,incluir,
rd1ad9f03d70b7d19984230f86e1cd321,abstract,0.72,incluir,
refe7dbce578ebbd24453b940e02531f6,abstract,0.78,incluir,
r89ecdd19274f2c547c9fa72d6fe41ba5,abstract,0.62,incluir,
r583f6ace8c368e3e7ad230aac0bcfc50,abstract,0.6,incluir,
r197e0fedb18525912ca2af07e8863cb9,abstract,0.82,incluir,
r9814e0583eb8847273ce305b8b28f9be,pdf,0.88,incluir,
r2befacca196df04a32d96d7413ca6695,abstract,0.62,incluir,
r0cdb1158d4a6f44ab488e6966e519dde,abstract,0.72,incluir,
r57d2f719280d103371898cae620c3031,abstract,0.62,incluir,
r62531aca980a7c03428638f66acae91e,pdf,0.82,incluir,
radac3ff12c5d9e6ac58a11e7106a9ac6,abstract,0.62,incluir,
reda5e1ccf63d0ea13dde7727fcf34fd1,abstract,0.72,incluir,
rcc4b28c4d73636a7208a5fd5f2881d47,abstract,0.72,incluir,
r812b090961114755d7893e6a924313a7,abstract,0.82,incluir,
r642330a1716aed40996e9df761336602,abstract,0.78,incluir,
r60181ea382f24ee00c0647af219e98d2,abstract,0.82,incluir,
rf42a6488088601d7f93811d82e6cd403,pdf,0.78,incluir,
r00808bd63f0288b1b80db5d62599819b,abstract,0.82,incluir,
ra29a5057b3bdca6130a7b770ea618f69,pdf,0.97,incluir,
r114841f9cc81ae6b10c67ddd5ae8b06f,abstract,0.82,incluir,
re5309f3d15dde57e5e6005afc01fce67,abstract,0.72,incluir,
r69f0fb34d38b64e7963ec1f740d4fd79,pdf,0.72,incluir,
r66e15d3cf7a052ad229b9b3924523fb6,abstract,0.62,incluir,
rc0a8a72166e726728f6668104d0670d0,abstract,0.72,incluir,
rd2644418033e84a4470bde9b6e243578,abstract,0.55,incluir,
ra89328ff2472a02824038ca9828ecd0c,abstract,0.78,incluir,
r59179409ae6b6305560503d8df6c2616,abstract,0.82,incluir,
r6422abe2e94f22fab322ab6b2d07b216,abstract,0.82,incluir,
r9a54fc76f0ace7301301576a18d1f4d2,pdf,0.82,incluir,
r1fc91130d97f2e0c261b4d13f05efab3,abstract,0.78,incluir,
