review_id,estrato,tipo
rdc25b66d1571a5c3135e7e046c436cb3,abstract_media,inclusao
r3124d41c89324fe43b44d7cea79e62ab,abstract_media,inclusao
rd1ad9f03d70b7d19984230f86e1cd321,abstract_media,inclusao
r2aaf0812522d5ef847e975f1ac36a8be,abstract_media,inclusao
r7c7857296e1fc1ec91fbd322f68979a5,abstract_media,inclusao
r0a898edf294a5b7fd7462fa6fb38a648,abstract_media,inclusao
r8fd42f494dc84e998e2cdc15a8ab5d86,abstract_media,inclusao
r0c59bff805ebee92864f396b2bf060a0,abstract_media,inclusao
rad9accfe2d593a54853e75f8493996fb,abstract_media,inclusao
r177473d8592f8eff24b530e2f353e67d,abstract_media,inclusao
r8c209873f856fe3eeaeb227829a6219e,abstract_media,inclusao
r916ea27453534acfd3fd40dd44782e78,abstract_media,inclusao
r0528f180c24892134ac264c6ce0f1a60,abstract_media,inclusao
r6946c5686d2aa66bb4ec9abce037b750,abstract_media,inclusao
rdf24f2d6ef48ea1618739711d6bbf701,abstract_media,inclusao
ra0d2ecee1e2e73d7965bfd2ff0a65e19,abstract_media,inclusao
r73d30722482e6e5684ee9f756254901b,abstract_media,inclusao
r985c4b2a6edb2c3f4b9117f8a6e9a0c4,abstract_media,inclusao
re0a87f5f74726d76ad7dfb090c7b7148,abstract_media,inclusao
re7145cee20bd6eca0f5862c6d134500f,abstract_media,inclusao
redc0ac35cd6bee34564b69fa9d32b5ea,abstract_media,inclusao
ra70228ae2e8fbfdefbd36e368c303f54,abstract_media,inclusao
r860fddea31c3f764746a93bf0f97d7de,abstract_media,inclusao
rbad80acc3957c871ed8b4c09f3eeeba7,abstract_media,inclusao
red421e7fe457c35a819a637c289a0dda,abstract_media,inclusao
r004c799fae612cf4b40fc682633c9ce6,abstract_media,inclusao
rd82fc00ec25138cf765ca62b63552fff,abstract_media,inclusao
r7ac8c9d36dbd785f36ff78ddfbdabc40,abstract_media,inclusao
r0093240eede1247d42f9eb5a07948877,abstract_media,inclusao
r43c7304d0b444d2022ea4c621c8cb880,abstract_media,inclusao
r76f18a8f4b29170416eaa0fd950d77ce,abstract_media,inclusao
r92e51649254db69f7e406532391c447f,abstract_media,inclusao
r776b884e75987ee00232f19b382466b0,abstract_media,inclusao
ra062f80ac67786dd0721d61c31f89a50,abstract_media,inclusao
rd6c6d614023b743a85978938c31154e0,pdf_alta,inclusao
ra88f06c75de8753f68e921534685147a,pdf_alta,inclusao
r6b9152c0903eb3fcd7fa1ce58bfe695d,pdf_alta,inclusao
r8a35d9171cde8fac275c648c7540ebe8,pdf_alta,inclusao
r40f39e2c29ae3ccd5b09fddf89250908,pdf_alta,inclusao
rb6a248f65ea10f2004745f71c7699c63,pdf_alta,inclusao
ref94459791c606ba05b43396bc72b3f3,pdf_alta,inclusao
r66834e999f415182c1e50a654d7a23e6,pdf_alta,inclusao
r82c4fb9bd80e956521d92467eee0cd50,pdf_media,inclusao
rabdef159d44c0df0fb88746f8a4eb5b5,pdf_media,inclusao
r4ace0e6d352d38dc9b575fce3a92b3c6,pdf_media,inclusao
r49dd7a268609170e18ca11ad4d0aa529,pdf_media,inclusao
r914fcb3b3bfe2c653d4efd9a3da67a96,pdf_media,inclusao
